,win rate,ADC,SUPPORT
283,51.578947368421055,Miss Fortune,Malzahar
284,51.81818181818182,Miss Fortune,Maokai
285,50.442477876106196,Miss Fortune,Morgana
286,48.55233853006681,Miss Fortune,Nami
288,45.84070796460177,Miss Fortune,Rakan
289,53.910614525139664,Miss Fortune,Sona
290,55.154639175257735,Miss Fortune,Soraka
291,52.94117647058824,Miss Fortune,Tahm Kench
292,48.30508474576271,Miss Fortune,Taric
293,52.794561933534744,Miss Fortune,Thresh
294,53.16455696202531,Miss Fortune,Veigar
295,57.6271186440678,Miss Fortune,VelKoz
296,43.24324324324324,Miss Fortune,Zilean
297,51.30023640661938,Miss Fortune,Zyra
299,54.601226993865026,Sivir,Alistar
300,43.77880184331797,Sivir,Bard
301,51.76848874598071,Sivir,Blitzcrank
302,52.34375,Sivir,Brand
303,46.69603524229075,Sivir,Braum
304,54.794520547945204,Sivir,Janna
305,45.90163934426229,Sivir,Karma
306,52.54237288135594,Sivir,Leona
307,48.8235294117647,Sivir,Lulu
308,32.22222222222222,Sivir,Lux
309,44.554455445544555,Sivir,Maokai
310,52.824858757062145,Sivir,Morgana
311,47.906976744186046,Sivir,Nami
313,44.98141263940521,Sivir,Rakan
314,54.43548387096774,Sivir,Sona
315,51.37614678899083,Sivir,Soraka
316,47.82608695652174,Sivir,Tahm Kench
317,48.005908419497786,Sivir,Thresh
318,47.540983606557376,Sivir,VelKoz
319,39.743589743589745,Sivir,Zilean
320,50.931677018633536,Sivir,Zyra
321,50.0,Tristana,Alistar
322,45.91836734693878,Tristana,Annie
323,50.0,Tristana,Bard
324,52.89389067524116,Tristana,Blitzcrank
325,51.48148148148148,Tristana,Brand
326,48.59335038363171,Tristana,Braum
327,52.16178521617852,Tristana,Janna
328,46.13899613899614,Tristana,Karma
329,51.22377622377622,Tristana,Leona
330,51.482479784366575,Tristana,Lulu
331,49.06832298136646,Tristana,Lux
332,48.19277108433735,Tristana,Maokai
333,45.47008547008547,Tristana,Morgana
334,48.865979381443296,Tristana,Nami
336,43.28358208955223,Tristana,Rakan
337,50.11820330969267,Tristana,Sona
338,56.01023017902813,Tristana,Soraka
339,45.45454545454545,Tristana,Tahm Kench
340,54.90196078431373,Tristana,Taric
341,51.721556886227546,Tristana,Thresh
342,38.70967741935484,Tristana,VelKoz
343,52.17391304347826,Tristana,Zilean
344,49.61538461538461,Tristana,Zyra
345,53.105590062111794,Twitch,Alistar
346,48.97959183673469,Twitch,Annie
347,48.723404255319146,Twitch,Bard
348,55.46975546975547,Twitch,Blitzcrank
349,55.74712643678161,Twitch,Brand
350,55.660377358490564,Twitch,Braum
351,56.92307692307692,Twitch,Galio
352,52.40506329113924,Twitch,Janna
353,50.843644544431946,Twitch,Karma
354,56.50887573964497,Twitch,Leona
355,51.59235668789809,Twitch,Lulu
356,51.707317073170735,Twitch,Lux
357,52.4390243902439,Twitch,Malzahar
358,47.5,Twitch,Maokai
359,52.28951255539144,Twitch,Morgana
360,51.49625935162094,Twitch,Nami
362,46.118721461187214,Twitch,Rakan
363,57.19557195571956,Twitch,Sona
364,53.87263339070568,Twitch,Soraka
365,50.0,Twitch,Tahm Kench
366,48.837209302325576,Twitch,Taric
367,53.25476992143658,Twitch,Thresh
368,50.0,Twitch,VelKoz
369,60.1063829787234,Twitch,Zilean
370,55.714285714285715,Twitch,Zyra
371,55.21472392638037,Varus,Alistar
372,48.507462686567166,Varus,Bard
373,54.17558886509636,Varus,Blitzcrank
374,48.113207547169814,Varus,Brand
375,50.847457627118644,Varus,Braum
376,52.17391304347826,Varus,Janna
377,43.53448275862069,Varus,Karma
378,54.52127659574468,Varus,Leona
379,52.66393442622951,Varus,Lulu
380,35.333333333333336,Varus,Lux
381,45.18072289156627,Varus,Maokai
382,50.11820330969267,Varus,Morgana
383,48.38709677419355,Varus,Nami
385,42.857142857142854,Varus,Rakan
386,52.336448598130836,Varus,Sona
387,46.95340501792115,Varus,Soraka
388,42.22222222222222,Varus,Tahm Kench
389,52.77777777777778,Varus,Taric
390,51.43139190523198,Varus,Thresh
391,56.9620253164557,Varus,VelKoz
392,59.30232558139535,Varus,Zilean
393,50.179211469534046,Varus,Zyra
394,48.86039886039886,Vayne,Alistar
395,52.13270142180095,Vayne,Annie
396,48.82075471698113,Vayne,Bard
397,53.23058684054535,Vayne,Blitzcrank
398,52.0,Vayne,Brand
399,52.51184834123222,Vayne,Braum
400,48.275862068965516,Vayne,Fiddlesticks
401,52.04081632653062,Vayne,Galio
403,52.22617987533392,Vayne,Janna
404,46.92857142857143,Vayne,Karma
405,48.39939024390244,Vayne,Leona
406,51.5979381443299,Vayne,Lulu
407,42.211055276381906,Vayne,Lux
409,47.85276073619632,Vayne,Malzahar
410,50.23041474654379,Vayne,Maokai
411,50.583941605839414,Vayne,Morgana
412,48.73547505126453,Vayne,Nami
415,46.478873239436616,Vayne,Rakan
417,52.694063926940636,Vayne,Sona
418,53.734756097560975,Vayne,Soraka
419,47.84172661870504,Vayne,Tahm Kench
420,55.81395348837209,Vayne,Taric
422,49.769084487910895,Vayne,Thresh
423,43.90243902439025,Vayne,Veigar
424,51.94805194805194,Vayne,VelKoz
425,48.69281045751634,Vayne,Zilean
426,48.8479262672811,Vayne,Zyra
427,47.05882352941176,Xayah,Alistar
428,50.35971223021583,Xayah,Annie
429,52.11459754433834,Xayah,Bard
430,51.61290322580645,Xayah,Blitzcrank
431,51.23339658444023,Xayah,Brand
432,44.8062015503876,Xayah,Braum
433,50.0,Xayah,Fiddlesticks
434,39.80582524271845,Xayah,Galio
436,49.95787700084246,Xayah,Janna
437,48.31649831649832,Xayah,Karma
438,51.50837988826815,Xayah,Leona
439,48.093023255813954,Xayah,Lulu
440,47.13375796178344,Xayah,Lux
441,45.11278195488722,Xayah,Malzahar
442,51.36612021857923,Xayah,Maokai
443,48.74118831822759,Xayah,Morgana
444,49.83388704318937,Xayah,Nami
446,47.22753346080306,Xayah,Rakan
448,54.45544554455446,Xayah,Sona
449,49.93324432576769,Xayah,Soraka
450,48.85057471264368,Xayah,Tahm Kench
451,50.898203592814376,Xayah,Taric
453,50.97524381095274,Xayah,Thresh
454,44.871794871794876,Xayah,Veigar
455,54.04040404040404,Xayah,VelKoz
456,45.04504504504504,Xayah,Zilean
457,49.36305732484077,Xayah,Zyra
