,win rate,hero1,hero2
240,42.35807860262008,Alistar , Bard
241,48.43462246777164,Alistar , Blitzcrank
242,51.89873417721519,Alistar , Brand
243,50.0,Alistar , Braum
244,42.857142857142854,Alistar , Janna
245,52.56064690026954,Alistar , Karma
246,48.8517745302714,Alistar , Leona
247,50.617283950617285,Alistar , Lulu
248,47.607052896725435,Alistar , Morgana
249,48.698884758364315,Alistar , Nami
250,55.33769063180828,Alistar , Rakan
251,45.909090909090914,Alistar , Sona
252,40.08620689655172,Alistar , Soraka
253,52.231404958677686,Alistar , Thresh
254,49.19786096256685,Alistar , Zyra
255,40.666666666666664,Annie , Blitzcrank
256,49.03225806451613,Annie , Leona
257,45.6953642384106,Annie , Lulu
258,48.66666666666667,Annie , Morgana
259,48.13664596273292,Annie , Thresh
260,57.64192139737992,Bard , Alistar
261,46.96707105719237,Bard , Blitzcrank
262,49.034749034749034,Bard , Brand
263,56.666666666666664,Bard , Braum
264,51.995163240628784,Bard , Janna
265,52.22841225626741,Bard , Karma
266,45.51724137931035,Bard , Leona
267,51.81818181818182,Bard , Lulu
268,48.45360824742268,Bard , Maokai
269,52.66524520255863,Bard , Morgana
270,46.64246823956443,Bard , Nami
271,44.666666666666664,Bard , Nautilus
272,56.52797704447633,Bard , Rakan
273,47.004608294930875,Bard , Sona
274,50.79365079365079,Bard , Soraka
275,47.417840375586856,Bard , Thresh
276,50.595238095238095,Bard , Zyra
277,51.56537753222836,Blitzcrank , Alistar
278,59.333333333333336,Blitzcrank , Annie
279,53.03292894280762,Blitzcrank , Bard
280,53.813559322033896,Blitzcrank , Brand
281,46.98331193838254,Blitzcrank , Braum
282,47.37242955064737,Blitzcrank , Janna
283,55.139186295503215,Blitzcrank , Karma
284,48.6661277283751,Blitzcrank , Leona
285,54.84922575387123,Blitzcrank , Lulu
286,58.536585365853654,Blitzcrank , Lux
287,51.83946488294314,Blitzcrank , Maokai
288,52.99929428369795,Blitzcrank , Morgana
289,53.65853658536586,Blitzcrank , Nami
290,48.01061007957559,Blitzcrank , Nautilus
291,52.76292335115864,Blitzcrank , Rakan
292,51.747311827956985,Blitzcrank , Sona
293,52.467532467532465,Blitzcrank , Soraka
294,51.64319248826291,Blitzcrank , Tahm Kench
295,47.5,Blitzcrank , Taric
296,50.51327433628319,Blitzcrank , Thresh
297,55.319148936170215,Blitzcrank , VelKoz
298,52.331606217616574,Blitzcrank , Zilean
299,55.24193548387096,Blitzcrank , Zyra
300,48.10126582278481,Brand , Alistar
301,50.965250965250966,Brand , Bard
302,46.186440677966104,Brand , Blitzcrank
303,55.218855218855225,Brand , Braum
304,48.217317487266556,Brand , Janna
305,51.080550098231825,Brand , Karma
306,49.275362318840585,Brand , Leona
307,49.91869918699187,Brand , Lulu
308,60.40268456375839,Brand , Lux
309,58.08383233532935,Brand , Maokai
310,49.63855421686747,Brand , Morgana
311,53.69565217391305,Brand , Nami
312,53.371868978805395,Brand , Rakan
313,52.06349206349207,Brand , Sona
314,48.275862068965516,Brand , Soraka
315,51.985878199470434,Brand , Thresh
316,49.82698961937716,Brand , Zyra
317,50.0,Braum , Alistar
318,43.333333333333336,Braum , Bard
319,53.01668806161746,Braum , Blitzcrank
320,44.78114478114478,Braum , Brand
321,45.85764294049008,Braum , Janna
322,54.90753911806543,Braum , Karma
323,46.63978494623656,Braum , Leona
324,52.51700680272109,Braum , Lulu
325,55.61797752808989,Braum , Lux
326,40.97560975609756,Braum , Maokai
327,48.47161572052402,Braum , Morgana
328,49.91212653778559,Braum , Nami
329,55.12820512820513,Braum , Nautilus
330,52.058432934926955,Braum , Rakan
331,47.32824427480916,Braum , Sona
332,46.53465346534654,Braum , Soraka
333,51.298701298701296,Braum , Taric
334,49.45002391200383,Braum , Thresh
335,49.700598802395206,Braum , Zyra
336,46.308724832214764,Fiddlesticks , Thresh
337,49.494949494949495,Galio , Thresh
338,57.14285714285714,Janna , Alistar
339,48.00483675937122,Janna , Bard
340,52.627570449352625,Janna , Blitzcrank
341,51.782682512733444,Janna , Brand
342,54.14235705950992,Janna , Braum
343,52.625,Janna , Karma
344,53.68852459016394,Janna , Leona
345,51.411687458962575,Janna , Lulu
346,53.21888412017167,Janna , Lux
347,53.862660944206006,Janna , Maokai
348,55.2297165200391,Janna , Morgana
349,52.587991718426494,Janna , Nami
350,55.44871794871795,Janna , Nautilus
351,56.235827664399096,Janna , Rakan
352,47.59238521836507,Janna , Sona
353,50.22883295194508,Janna , Soraka
354,64.88095238095238,Janna , Tahm Kench
355,55.95854922279793,Janna , Taric
356,51.90774487471527,Janna , Thresh
357,50.61224489795918,Janna , VelKoz
358,51.633986928104584,Janna , Zilean
359,49.925925925925924,Janna , Zyra
360,47.43935309973046,Karma , Alistar
361,47.77158774373259,Karma , Bard
362,44.860813704496785,Karma , Blitzcrank
363,48.919449901768175,Karma , Brand
364,45.092460881934564,Karma , Braum
365,47.375,Karma , Janna
366,44.42567567567568,Karma , Leona
367,46.763137852246764,Karma , Lulu
368,57.27272727272727,Karma , Lux
369,42.592592592592595,Karma , Maokai
370,49.8220640569395,Karma , Morgana
371,47.847682119205295,Karma , Nami
372,48.818897637795274,Karma , Nautilus
373,51.76991150442478,Karma , Rakan
374,44.39324116743472,Karma , Sona
375,48.484848484848484,Karma , Soraka
376,50.32258064516129,Karma , Tahm Kench
377,48.17117776152158,Karma , Thresh
378,45.97701149425287,Karma , VelKoz
379,49.11504424778761,Karma , Zilean
380,47.34299516908212,Karma , Zyra
381,51.1482254697286,Leona , Alistar
382,50.967741935483865,Leona , Annie
383,54.48275862068965,Leona , Bard
384,51.333872271624905,Leona , Blitzcrank
385,50.72463768115942,Leona , Brand
386,53.36021505376344,Leona , Braum
387,46.31147540983606,Leona , Janna
388,55.57432432432432,Leona , Karma
389,51.52151101783841,Leona , Lulu
390,54.850746268656714,Leona , Lux
391,51.78571428571429,Leona , Maokai
392,49.01433691756272,Leona , Morgana
393,51.92012288786483,Leona , Nami
394,53.61842105263158,Leona , Nautilus
395,57.26970033296337,Leona , Rakan
396,48.673946957878314,Leona , Sona
397,51.940850277264325,Leona , Soraka
398,50.24390243902439,Leona , Tahm Kench
399,47.239263803680984,Leona , Taric
400,51.61977834612106,Leona , Thresh
401,50.84269662921348,Leona , Zyra
402,49.382716049382715,Lulu , Alistar
403,54.3046357615894,Lulu , Annie
404,48.18181818181818,Lulu , Bard
405,45.15077424612877,Lulu , Blitzcrank
406,50.081300813008134,Lulu , Brand
407,47.48299319727891,Lulu , Braum
408,48.588312541037425,Lulu , Janna
409,53.236862147753236,Lulu , Karma
410,48.47848898216159,Lulu , Leona
411,52.19941348973607,Lulu , Lux
412,57.41935483870968,Lulu , Malzahar
413,52.3936170212766,Lulu , Maokai
414,49.58246346555323,Lulu , Morgana
415,49.95640802092415,Lulu , Nami
416,56.209150326797385,Lulu , Nautilus
417,56.278366111951584,Lulu , Rakan
418,50.17103762827823,Lulu , Sona
419,50.89285714285714,Lulu , Soraka
420,52.48618784530387,Lulu , Tahm Kench
421,54.973821989528794,Lulu , Taric
422,49.119893723015615,Lulu , Thresh
423,51.741293532338304,Lulu , VelKoz
424,44.48818897637795,Lulu , Zilean
425,50.22222222222222,Lulu , Zyra
426,41.46341463414634,Lux , Blitzcrank
427,39.59731543624161,Lux , Brand
428,44.38202247191011,Lux , Braum
429,46.78111587982833,Lux , Janna
430,42.72727272727273,Lux , Karma
431,45.149253731343286,Lux , Leona
432,47.80058651026393,Lux , Lulu
433,46.82779456193353,Lux , Morgana
434,40.5940594059406,Lux , Nami
435,49.852507374631266,Lux , Rakan
436,45.33333333333333,Lux , Sona
437,43.96135265700483,Lux , Soraka
438,46.312178387650086,Lux , Thresh
439,45.16129032258064,Lux , Zyra
440,42.58064516129032,Malzahar , Lulu
441,51.40845070422535,Malzahar , Thresh
442,51.546391752577314,Maokai , Bard
443,48.16053511705686,Maokai , Blitzcrank
444,41.91616766467065,Maokai , Brand
445,59.02439024390244,Maokai , Braum
446,46.137339055793994,Maokai , Janna
447,57.407407407407405,Maokai , Karma
448,48.214285714285715,Maokai , Leona
449,47.6063829787234,Maokai , Lulu
450,47.5,Maokai , Morgana
451,47.70318021201413,Maokai , Nami
452,57.73195876288659,Maokai , Rakan
453,44.97354497354497,Maokai , Sona
454,50.48543689320388,Maokai , Soraka
455,46.568627450980394,Maokai , Thresh
456,50.0,Maokai , Zyra
457,52.39294710327456,Morgana , Alistar
458,51.33333333333333,Morgana , Annie
459,47.33475479744136,Morgana , Bard
460,47.00070571630205,Morgana , Blitzcrank
461,50.36144578313253,Morgana , Brand
462,51.52838427947598,Morgana , Braum
463,44.770283479960895,Morgana , Janna
464,50.177935943060504,Morgana , Karma
465,50.98566308243727,Morgana , Leona
466,50.41753653444676,Morgana , Lulu
467,53.17220543806647,Morgana , Lux
468,52.5,Morgana , Maokai
469,51.41579731743666,Morgana , Nami
470,50.32894736842105,Morgana , Nautilus
471,52.87107258938245,Morgana , Rakan
472,44.01349072512647,Morgana , Sona
473,48.26958105646631,Morgana , Soraka
474,47.13375796178344,Morgana , Tahm Kench
475,54.83870967741935,Morgana , Taric
476,51.82453416149069,Morgana , Thresh
477,49.34210526315789,Morgana , VelKoz
478,48.25581395348838,Morgana , Zilean
479,49.373433583959894,Morgana , Zyra
480,51.301115241635685,Nami , Alistar
481,53.35753176043557,Nami , Bard
482,46.34146341463415,Nami , Blitzcrank
483,46.30434782608695,Nami , Brand
484,50.08787346221442,Nami , Braum
485,47.4120082815735,Nami , Janna
486,52.152317880794705,Nami , Karma
487,48.07987711213518,Nami , Leona
488,50.04359197907585,Nami , Lulu
489,59.4059405940594,Nami , Lux
490,52.29681978798587,Nami , Maokai
491,48.58420268256334,Nami , Morgana
492,53.44827586206896,Nami , Nautilus
493,58.454647256438975,Nami , Rakan
494,43.90243902439025,Nami , Sona
495,49.77711738484398,Nami , Soraka
496,48.338643604915795,Nami , Thresh
497,46.012269938650306,Nami , VelKoz
498,42.44186046511628,Nami , Zilean
499,50.513347022587276,Nami , Zyra
500,55.333333333333336,Nautilus , Bard
501,51.9893899204244,Nautilus , Blitzcrank
502,44.871794871794876,Nautilus , Braum
503,44.55128205128205,Nautilus , Janna
504,51.181102362204726,Nautilus , Karma
505,46.381578947368425,Nautilus , Leona
506,43.790849673202615,Nautilus , Lulu
507,49.67105263157895,Nautilus , Morgana
508,46.55172413793103,Nautilus , Nami
509,51.12540192926045,Nautilus , Rakan
510,44.39461883408072,Nautilus , Sona
511,47.05882352941176,Nautilus , Soraka
512,49.8792270531401,Nautilus , Thresh
513,44.66230936819172,Rakan , Alistar
514,43.47202295552367,Rakan , Bard
515,47.23707664884135,Rakan , Blitzcrank
516,46.628131021194605,Rakan , Brand
517,47.941567065073045,Rakan , Braum
518,43.76417233560091,Rakan , Janna
519,48.23008849557522,Rakan , Karma
520,42.730299667036626,Rakan , Leona
521,43.72163388804841,Rakan , Lulu
522,50.14749262536873,Rakan , Lux
523,42.2680412371134,Rakan , Maokai
524,47.12892741061755,Rakan , Morgana
525,41.54535274356103,Rakan , Nami
526,48.87459807073955,Rakan , Nautilus
527,43.61001317523056,Rakan , Sona
528,40.13333333333333,Rakan , Soraka
529,52.55102040816326,Rakan , Tahm Kench
530,43.82022471910113,Rakan , Taric
531,46.66205465236942,Rakan , Thresh
532,45.23809523809524,Rakan , VelKoz
533,45.95959595959596,Rakan , Zilean
534,47.332185886402755,Rakan , Zyra
535,54.090909090909086,Sona , Alistar
536,52.995391705069125,Sona , Bard
537,48.252688172043015,Sona , Blitzcrank
538,47.93650793650794,Sona , Brand
539,52.67175572519084,Sona , Braum
540,52.40761478163493,Sona , Janna
541,55.60675883256528,Sona , Karma
542,51.326053042121686,Sona , Leona
543,49.82896237172178,Sona , Lulu
544,54.666666666666664,Sona , Lux
545,55.026455026455025,Sona , Maokai
546,55.98650927487352,Sona , Morgana
547,56.09756097560976,Sona , Nami
548,55.60538116591929,Sona , Nautilus
549,56.38998682476944,Sona , Rakan
550,53.191489361702125,Sona , Soraka
551,51.703406813627254,Sona , Thresh
552,55.97826086956522,Sona , Zyra
553,59.91379310344828,Soraka , Alistar
554,49.2063492063492,Soraka , Bard
555,47.53246753246753,Soraka , Blitzcrank
556,51.724137931034484,Soraka , Brand
557,53.46534653465347,Soraka , Braum
558,49.77116704805492,Soraka , Janna
559,51.515151515151516,Soraka , Karma
560,48.059149722735675,Soraka , Leona
561,49.107142857142854,Soraka , Lulu
562,56.038647342995176,Soraka , Lux
563,49.51456310679612,Soraka , Maokai
564,51.73041894353369,Soraka , Morgana
565,50.22288261515602,Soraka , Nami
566,52.94117647058824,Soraka , Nautilus
567,59.86666666666667,Soraka , Rakan
568,46.808510638297875,Soraka , Sona
569,51.052315093205046,Soraka , Thresh
570,54.0,Soraka , Zyra
571,48.35680751173709,Tahm Kench , Blitzcrank
572,35.11904761904761,Tahm Kench , Janna
573,49.67741935483871,Tahm Kench , Karma
574,49.75609756097561,Tahm Kench , Leona
575,47.51381215469613,Tahm Kench , Lulu
576,52.86624203821656,Tahm Kench , Morgana
577,47.44897959183674,Tahm Kench , Rakan
578,48.134328358208954,Tahm Kench , Thresh
579,52.5,Taric , Blitzcrank
580,48.701298701298704,Taric , Braum
581,44.04145077720207,Taric , Janna
582,52.760736196319016,Taric , Leona
583,45.0261780104712,Taric , Lulu
584,45.16129032258064,Taric , Morgana
585,56.17977528089888,Taric , Rakan
586,51.99063231850117,Taric , Thresh
587,47.768595041322314,Thresh , Alistar
588,51.86335403726709,Thresh , Annie
589,52.58215962441315,Thresh , Bard
590,49.48672566371681,Thresh , Blitzcrank
591,48.014121800529566,Thresh , Brand
592,50.54997608799617,Thresh , Braum
593,53.691275167785236,Thresh , Fiddlesticks
594,50.505050505050505,Thresh , Galio
595,48.09225512528474,Thresh , Janna
596,51.82882223847842,Thresh , Karma
597,48.38022165387894,Thresh , Leona
598,50.88010627698439,Thresh , Lulu
599,53.687821612349914,Thresh , Lux
600,48.59154929577465,Thresh , Malzahar
601,53.431372549019606,Thresh , Maokai
602,48.17546583850932,Thresh , Morgana
603,51.6613563950842,Thresh , Nami
604,50.1207729468599,Thresh , Nautilus
605,53.33794534763058,Thresh , Rakan
606,48.296593186372746,Thresh , Sona
607,48.94768490679495,Thresh , Soraka
608,51.865671641791046,Thresh , Tahm Kench
609,48.00936768149883,Thresh , Taric
610,58.333333333333336,Thresh , Veigar
611,52.25653206650831,Thresh , VelKoz
612,51.90156599552572,Thresh , Zilean
613,52.13675213675214,Thresh , Zyra
614,41.66666666666667,Veigar , Thresh
615,44.680851063829785,VelKoz , Blitzcrank
616,49.38775510204081,VelKoz , Janna
617,54.02298850574713,VelKoz , Karma
618,48.258706467661696,VelKoz , Lulu
619,50.6578947368421,VelKoz , Morgana
620,53.987730061349694,VelKoz , Nami
621,54.761904761904766,VelKoz , Rakan
622,47.74346793349169,VelKoz , Thresh
623,47.66839378238342,Zilean , Blitzcrank
624,48.36601307189542,Zilean , Janna
625,50.88495575221239,Zilean , Karma
626,55.51181102362205,Zilean , Lulu
627,51.74418604651163,Zilean , Morgana
628,57.55813953488372,Zilean , Nami
629,54.04040404040404,Zilean , Rakan
630,48.09843400447427,Zilean , Thresh
631,50.80213903743316,Zyra , Alistar
632,49.404761904761905,Zyra , Bard
633,44.75806451612903,Zyra , Blitzcrank
634,50.17301038062284,Zyra , Brand
635,50.29940119760479,Zyra , Braum
636,50.07407407407407,Zyra , Janna
637,52.65700483091788,Zyra , Karma
638,49.157303370786515,Zyra , Leona
639,49.77777777777778,Zyra , Lulu
640,54.83870967741935,Zyra , Lux
641,50.0,Zyra , Maokai
642,50.6265664160401,Zyra , Morgana
643,49.48665297741273,Zyra , Nami
644,52.667814113597245,Zyra , Rakan
645,44.02173913043478,Zyra , Sona
646,46.0,Zyra , Soraka
647,47.863247863247864,Zyra , Thresh
